EmailAttachments,URLCount,SenderReputation,SuspiciousKeywords,EmailSize,LinkEntropy,DomainRiskScore,AccountAge,PhishingLabel
4,0,32,2,185.68,2.97,0.781,110,1
2,0,156,4,336.79,1.882,0.823,72,0
0,3,78,0,215.32,0.637,0.027,38,0
1,8,192,2,437.36,3.68,0.733,110,1
0,9,62,3,335.25,3.058,0.784,56,1
2,5,93,2,146.88,1.451,0.7,111,0
3,1,0,5,201.26,2.239,0.714,84,1
4,3,98,4,431.34,0.597,0.041,99,0
3,5,192,2,223.92,1.687,0.442,39,0
3,0,42,1,291.11,0.0,0.818,31,0
2,9,120,5,342.02,2.31,0.934,80,1
0,0,181,1,206.51,1.229,0.229,23,0
2,2,0,7,182.29,3.219,0.579,34,1
4,5,0,7,263.86,1.546,0.804,96,0
3,3,198,5,146.7,2.531,0.752,17,1
4,2,130,5,177.89,1.45,0.619,107,0
1,2,179,6,77.94,1.988,0.019,24,0
1,1,185,2,186.79,1.226,0.724,35,0
1,2,36,4,194.32,2.716,0.773,118,1
2,9,105,6,482.82,1.99,0.723,23,1
1,0,58,4,315.38,0.556,0.766,8,1
1,2,60,0,404.32,0.0,0.431,54,0
0,8,67,4,0.0,2.149,0.994,87,1
3,3,175,3,97.94,1.141,0.771,21,0
2,2,96,2,416.54,2.548,0.579,19,0
1,7,197,1,330.6,1.929,0.934,31,0
1,0,20,4,135.94,2.79,0.908,50,1
2,4,136,1,232.16,0.0,0.815,71,0
5,0,197,0,292.4,2.351,0.564,112,0
0,6,38,2,429.62,3.256,0.527,24,1
0,4,78,4,77.19,3.136,0.329,46,1
2,1,126,6,318.53,3.726,0.251,8,1
1,0,188,0,372.67,1.249,0.512,77,0
2,6,157,6,490.05,3.396,0.578,3,1
1,0,47,5,413.22,0.0,0.245,34,1
1,2,53,6,174.3,1.875,0.923,77,1
2,0,58,4,369.31,1.598,0.557,57,1
2,5,145,0,393.48,3.832,0.527,118,0
1,6,102,6,378.38,2.697,0.436,58,1
0,0,125,5,419.06,1.832,0.058,96,0
1,6,199,1,456.68,3.271,0.882,35,1
2,0,129,1,94.29,1.566,0.317,21,0
1,5,140,2,97.14,1.117,0.642,65,0
3,7,126,6,408.38,2.404,0.607,66,1
0,4,150,6,163.57,2.482,0.584,57,0
5,9,42,2,76.34,3.39,0.526,42,1
0,2,164,1,230.55,2.1,0.181,43,0
2,7,90,5,418.94,3.351,0.281,26,1
2,7,173,7,0.0,0.0,0.524,67,1
1,3,126,6,352.33,2.514,0.789,88,1
3,7,165,7,51.63,1.23,0.432,26,1
2,4,65,2,99.38,1.849,0.204,8,0
0,4,89,7,207.88,3.501,0.088,47,1
2,2,50,1,87.62,1.256,0.663,37,0
0,0,112,5,0.0,3.336,0.423,72,1
0,8,156,3,438.83,1.49,0.125,82,0
2,0,137,4,390.01,0.621,0.674,18,1
1,0,182,6,159.12,0.885,0.208,76,0
3,0,100,3,285.46,0.0,0.509,36,0
2,9,79,3,132.88,1.417,0.306,104,1
3,4,95,4,176.58,2.79,0.932,2,1
0,0,82,1,282.2,2.947,0.228,84,0
2,3,119,7,380.76,1.708,0.42,3,0
0,0,199,1,92.59,2.162,0.959,104,0
0,1,0,2,183.51,1.913,0.319,108,0
1,1,171,0,466.98,3.816,0.645,34,0
1,3,0,1,243.11,1.62,0.317,113,0
1,7,77,7,472.49,0.0,0.111,110,1
1,1,49,4,496.13,1.78,0.628,46,1
1,8,176,0,287.0,2.843,0.916,62,1
3,8,29,4,179.62,0.0,0.453,70,1
1,0,58,4,405.85,3.734,0.626,104,1
4,0,74,4,121.69,3.586,0.609,57,1
1,9,47,0,163.42,1.509,0.415,10,1
2,9,165,6,403.2,2.093,0.615,88,1
1,8,188,0,245.14,3.115,0.259,18,1
1,1,137,3,140.69,3.708,0.378,33,0
2,7,133,7,343.01,1.68,0.442,103,1
3,2,94,6,379.74,2.056,0.864,7,0
1,0,84,5,106.28,3.648,0.348,45,1
4,0,100,4,174.64,1.755,0.635,112,0
1,9,119,7,149.57,2.182,0.213,108,1
1,1,119,6,220.93,3.666,0.253,29,1
3,6,65,2,393.55,3.308,0.648,83,1
1,5,79,1,371.17,1.352,0.762,38,0
1,1,156,5,0.0,1.637,0.462,39,0
2,3,192,7,0.0,1.735,0.335,25,0
1,1,175,1,113.96,3.695,0.91,17,0
3,0,116,0,150.48,3.996,0.136,61,0
2,2,22,0,172.38,3.209,0.721,51,1
1,3,198,2,115.89,2.195,0.69,37,0
4,9,155,2,234.64,0.536,0.69,67,0
2,4,133,5,83.83,2.941,0.935,24,1
1,4,135,2,387.51,1.863,0.728,118,0
3,6,77,2,404.47,2.715,0.302,82,1
1,9,89,7,308.42,2.623,0.353,49,1
4,7,112,2,90.37,2.183,0.391,90,0
0,8,159,0,450.54,0.0,0.031,21,1
1,6,156,3,484.54,0.0,0.914,75,0
0,4,124,2,141.06,2.992,0.074,57,0
1,8,68,6,367.09,1.934,0.7,41,1
0,7,102,7,428.87,2.998,0.73,17,1
0,0,36,7,292.93,2.863,0.844,115,1
3,8,73,2,195.5,0.536,0.553,109,1
1,9,131,0,265.35,1.499,0.725,102,0
1,7,191,0,280.52,1.162,0.303,21,0
1,5,179,6,230.29,1.084,0.746,68,0
2,3,182,2,468.43,3.05,0.343,96,0
0,8,68,3,384.75,1.338,0.903,82,1
2,8,163,7,158.59,2.162,0.163,64,1
1,9,104,2,313.5,1.364,0.316,44,0
2,9,31,0,359.91,2.531,0.499,28,1
0,8,145,2,113.07,3.022,0.776,36,1
0,9,117,2,211.29,1.659,0.749,37,0
1,2,155,4,457.5,2.611,0.211,44,1
1,2,168,3,305.23,0.0,0.144,50,0
4,5,67,1,147.65,0.83,0.304,90,0
2,5,155,6,105.25,2.987,0.484,113,1
0,5,47,2,283.2,1.631,0.539,55,0
2,0,99,6,296.46,0.929,0.429,119,0
1,4,29,1,200.49,2.41,0.663,88,0
3,1,71,3,333.69,1.292,0.428,10,0
1,6,162,7,80.91,3.375,0.946,38,1
0,0,151,6,115.31,0.65,0.261,49,0
1,2,109,2,295.82,0.845,0.627,72,0
0,7,0,7,77.82,2.323,0.611,2,1
1,3,126,1,446.41,2.561,0.282,44,0
0,3,151,6,113.97,3.055,0.412,35,1
2,7,60,5,0.0,1.407,0.365,116,1
2,0,118,1,226.04,3.446,0.172,21,0
2,8,74,3,0.0,3.836,0.477,57,1
0,6,47,2,0.0,2.247,0.387,91,1
1,1,120,4,274.76,3.162,0.178,23,1
2,5,66,3,376.54,2.337,0.45,32,0
1,7,156,7,277.34,0.743,0.422,90,1
5,4,149,4,316.81,1.641,0.131,71,0
2,5,136,2,392.32,0.806,0.131,33,0
1,9,127,1,323.29,3.961,0.648,17,1
3,7,195,5,327.03,1.302,0.707,72,1
3,5,88,5,405.15,2.726,0.941,42,1
1,8,47,6,477.09,1.495,0.087,17,1
3,8,98,7,219.52,2.786,0.118,48,1
0,8,33,3,309.7,1.236,0.052,106,1
1,5,65,3,88.82,3.248,0.532,111,1
0,8,160,7,211.46,0.0,0.623,48,1
0,2,35,3,235.42,3.633,0.404,82,1
3,4,187,0,425.86,3.441,0.798,100,0
2,1,177,5,281.03,2.876,0.687,57,1
0,7,100,5,378.98,0.736,0.986,103,1
0,3,77,2,58.55,1.23,0.138,61,0
0,5,67,0,259.02,3.508,0.058,44,1
2,5,68,3,455.59,0.927,0.275,23,0
0,4,108,3,150.94,1.046,0.019,76,0
0,0,149,7,64.18,2.404,0.933,87,0
2,0,33,4,245.03,1.46,0.304,53,1
2,9,122,6,366.99,1.277,0.552,33,1
0,7,140,0,254.51,2.515,0.318,117,1
3,0,164,6,256.99,1.804,0.246,56,0
0,9,142,1,351.41,0.992,0.152,28,0
3,6,178,6,164.47,2.372,0.32,108,1
3,3,157,5,388.35,1.855,0.615,23,0
1,5,89,2,118.9,3.071,0.972,63,0
2,8,122,1,228.09,0.86,0.558,7,0
1,4,121,1,345.2,2.672,0.533,111,0
3,7,0,7,422.77,2.028,0.035,2,1
0,4,83,2,406.19,1.921,0.84,65,0
0,1,177,3,374.76,1.313,0.045,4,0
2,3,181,5,211.59,0.606,0.906,8,0
4,1,37,7,105.04,0.0,0.539,49,1
3,6,82,0,147.58,1.642,0.168,29,1
2,6,68,3,439.18,2.884,0.452,82,1
3,2,75,6,435.8,3.817,0.995,55,1
0,6,110,3,478.2,2.477,0.305,37,0
0,0,77,0,84.19,1.89,0.269,95,0
2,0,0,7,291.56,1.439,0.118,6,0
3,8,74,1,341.91,3.769,0.597,108,1
2,5,104,1,369.8,2.887,0.089,24,0
3,4,38,5,339.74,2.828,0.766,112,1
1,5,170,6,396.51,1.992,0.919,105,0
1,5,122,7,211.76,3.458,0.932,79,1
1,0,131,1,130.74,2.998,0.108,40,0
1,4,127,7,142.06,1.491,0.558,12,0
2,8,66,4,55.39,2.599,0.097,64,1
3,3,126,4,207.64,2.006,0.572,46,0
2,2,198,6,91.28,0.523,0.815,113,0
0,0,103,7,194.67,3.327,0.538,14,1
1,1,175,4,332.69,0.93,0.872,27,0
1,2,147,2,452.52,2.285,0.802,116,0
2,3,77,6,427.82,1.677,0.277,37,1
0,6,162,5,163.7,1.697,0.63,77,1
3,5,163,4,110.34,2.171,0.007,102,0
3,7,116,7,136.88,3.99,0.396,110,1
1,8,66,0,486.94,1.929,0.238,102,1
1,5,159,0,297.26,1.138,0.937,62,0
1,6,122,3,132.13,2.648,0.405,67,1
1,3,190,3,428.34,1.327,0.654,80,0
2,1,103,5,227.84,0.869,0.732,76,0
0,8,176,6,454.65,0.676,0.773,14,1
2,8,68,3,167.3,0.58,0.736,98,1
3,3,150,3,226.95,2.009,0.289,114,0
2,2,131,0,0.0,0.0,0.686,95,0
0,9,79,3,451.68,1.149,0.549,39,1
2,5,85,7,440.94,0.0,0.597,5,1
2,0,106,0,308.46,0.952,0.001,76,0
0,0,145,4,149.8,3.704,0.258,26,1
1,3,45,4,231.51,2.557,0.931,81,1
0,0,90,5,489.03,0.597,0.29,108,0
0,0,93,2,323.5,3.87,0.438,53,0
5,2,66,3,401.49,1.578,0.187,63,0
2,7,95,4,252.44,2.075,0.139,11,1
2,9,115,4,289.4,0.0,0.209,33,1
2,3,189,6,243.03,3.049,0.554,41,1
1,3,50,5,366.31,2.2,0.919,40,1
0,9,41,7,433.16,0.963,0.326,46,1
0,8,0,1,278.31,0.865,0.323,4,1
2,6,167,1,266.39,3.039,0.564,96,1
2,1,155,5,203.13,1.33,0.357,95,0
3,2,117,0,129.69,0.982,0.91,11,0
2,3,68,2,472.66,2.248,0.378,81,0
0,0,0,6,192.24,3.31,0.49,27,1
0,9,57,6,410.31,1.476,0.533,8,1
2,7,72,5,371.91,1.468,0.782,21,1
2,9,0,7,405.91,3.419,0.564,97,1
1,9,96,1,471.55,1.017,0.239,114,0
3,5,176,2,330.52,2.659,0.124,5,0
0,2,158,4,454.08,3.843,0.938,62,1
1,8,194,5,125.46,3.445,0.802,32,1
2,9,192,0,332.02,0.716,0.023,89,0
1,7,37,2,397.52,0.0,0.822,58,1
2,8,69,1,172.24,0.998,0.591,72,1
1,4,108,4,383.34,3.822,0.519,27,1
0,2,196,5,400.31,3.951,0.012,26,1
1,3,169,6,424.03,1.322,0.781,40,0
1,4,64,3,190.8,2.844,0.198,29,1
2,8,146,6,356.72,3.446,0.728,73,1
4,8,112,7,186.91,1.318,0.016,82,1
1,2,40,0,382.57,1.157,0.796,7,1
2,0,95,6,258.34,0.539,0.023,106,1
1,5,183,4,318.89,1.942,0.236,21,0
3,3,0,1,237.13,3.648,0.268,80,0
1,4,179,5,122.89,3.66,0.158,67,1
0,9,110,1,130.11,0.947,0.481,96,0
1,1,115,3,84.91,1.215,0.284,10,0
3,6,115,7,0.0,1.928,0.993,62,1
2,3,94,6,431.89,3.232,0.58,96,1
2,1,0,4,59.38,2.641,0.566,8,1
1,5,101,2,79.81,2.298,0.221,96,0
0,1,147,2,255.86,2.572,0.409,114,0
4,9,122,4,381.97,0.837,0.124,4,1
2,1,152,7,120.97,2.172,0.763,29,0
2,6,163,2,0.0,3.972,0.331,12,1
0,0,158,6,154.4,0.81,0.752,117,0
1,6,54,7,229.57,2.317,0.372,101,1
1,9,131,5,151.25,1.535,0.989,100,1
2,4,0,4,208.67,0.0,0.171,51,0
0,0,106,4,377.84,2.508,0.002,19,1
3,5,0,1,324.95,2.521,0.595,101,0
3,6,117,0,86.53,3.483,0.953,111,1
0,0,100,1,336.99,1.864,0.647,31,0
3,8,157,2,264.68,2.307,0.086,108,0
0,6,101,0,470.55,0.538,0.54,26,0
2,0,155,4,180.19,3.263,0.909,109,1
2,2,45,2,376.77,1.408,0.007,6,0
1,4,22,7,378.89,3.358,0.167,29,1
4,3,78,3,0.0,1.43,0.815,17,0
2,1,135,2,456.45,0.538,0.894,20,0
2,0,150,0,271.03,1.042,0.707,42,0
2,3,185,0,355.5,3.95,0.992,110,0
1,6,149,4,115.64,1.619,0.09,47,1
0,3,164,5,166.01,0.881,0.546,74,0
0,8,55,3,313.75,0.916,0.685,70,1
2,7,105,4,193.56,1.586,0.703,112,1
2,7,117,3,274.86,0.632,0.793,96,0
4,4,143,3,218.3,2.29,0.918,2,0
3,0,92,4,338.25,1.248,0.362,74,0
2,8,0,6,269.22,2.318,0.043,37,1
0,1,141,2,52.07,0.993,0.362,91,0
2,5,149,7,342.36,2.005,0.672,105,0
1,9,181,1,0.0,2.593,0.213,19,1
1,4,46,0,203.76,0.717,0.81,115,0
4,9,184,7,92.37,1.896,0.22,41,1
2,7,169,6,149.17,1.559,0.01,16,1
1,2,87,0,150.7,1.341,0.508,115,0
2,5,0,4,470.92,2.616,0.726,84,1
2,5,117,5,0.0,2.56,0.35,60,1
1,9,42,6,68.93,2.707,0.749,57,1
1,2,191,2,112.47,1.056,0.438,100,0
3,6,134,7,85.56,1.5,0.172,64,1
4,0,131,0,314.99,1.234,0.091,5,0
1,4,115,3,133.98,2.392,0.711,18,0
1,8,97,5,274.35,2.114,0.386,72,1
0,0,80,6,216.53,1.656,0.913,13,0
1,9,104,2,411.74,3.251,0.54,105,1
2,3,90,7,194.22,0.829,0.348,74,0
2,7,104,6,256.22,3.912,0.349,36,1
0,8,0,4,374.58,0.908,0.131,19,1
0,9,159,5,245.01,3.206,0.594,31,1
1,4,34,0,406.95,1.789,0.582,100,0
5,1,164,3,347.76,3.528,0.8,93,0
3,5,53,7,234.74,0.76,0.201,109,1
1,7,54,3,276.79,1.812,0.291,23,1
2,4,58,5,485.24,1.674,0.097,32,1
1,0,152,2,347.73,3.976,0.295,113,0
1,7,49,4,457.25,3.949,0.428,11,1
2,8,151,0,130.44,1.164,0.964,66,1
3,0,162,7,267.46,2.705,0.653,96,1
1,7,122,6,458.9,2.374,0.783,5,1
2,9,182,1,195.18,1.04,0.326,95,0
2,1,93,3,485.45,1.087,0.145,13,0
0,3,74,6,93.68,3.962,0.257,86,1
2,1,0,0,456.2,2.085,0.256,64,0
1,1,43,3,250.35,0.94,0.583,35,0
1,9,41,3,83.18,1.252,0.341,83,1
1,2,191,1,445.78,1.439,0.857,29,0
1,0,51,1,163.37,2.288,0.989,23,1
0,3,114,4,60.01,1.674,0.343,83,0
5,6,102,6,111.11,2.093,0.705,80,1
0,9,198,6,346.6,1.083,0.657,95,1
1,2,22,0,490.02,1.644,0.194,16,0
0,9,89,3,100.16,0.746,0.918,26,0
4,0,179,2,257.88,3.614,0.199,3,0
2,1,149,2,131.29,1.196,0.737,23,0
0,5,0,6,385.27,3.149,0.348,57,1
5,5,128,7,103.13,1.723,0.367,9,0
1,0,78,5,157.93,2.16,0.455,51,1
2,6,96,0,0.0,1.519,0.865,88,1
3,3,33,0,298.63,2.938,0.14,33,1
2,2,70,6,442.93,3.456,0.055,78,1
1,7,158,6,279.99,1.502,0.402,92,1
1,1,97,6,76.21,1.348,0.056,24,0
4,8,99,0,303.53,2.885,0.688,107,1
1,7,29,2,408.88,1.183,0.76,50,1
1,7,99,5,109.47,2.739,0.855,52,1
1,2,143,6,82.72,0.83,0.744,71,0
0,3,53,0,134.51,2.67,0.916,38,1
2,1,140,3,385.74,2.297,0.748,44,0
1,1,99,7,316.26,0.899,0.936,89,0
1,3,72,5,293.27,0.0,0.193,56,1
0,5,175,1,162.27,2.063,0.5,66,0
1,4,37,5,199.51,1.26,0.994,45,1
0,0,173,3,484.65,1.737,0.682,52,0
0,9,121,2,158.28,2.222,0.879,1,0
0,0,154,0,455.74,0.82,0.03,87,0
0,5,192,4,0.0,3.852,0.872,111,1
2,2,117,2,105.48,2.829,0.698,116,0
1,2,64,7,260.29,0.859,0.171,104,1
2,6,54,3,476.85,3.38,0.026,82,1
1,0,199,0,238.35,1.629,0.26,64,0
1,0,133,5,438.52,2.589,0.916,111,1
4,9,40,5,165.39,1.47,0.668,8,1
1,2,175,0,306.91,3.067,0.919,98,0
1,7,115,4,429.73,0.0,0.446,43,1
3,0,63,6,464.31,2.432,0.937,8,1
3,9,99,6,268.62,1.343,0.463,29,1
1,3,75,2,337.86,1.388,0.204,13,0
1,8,157,6,51.34,1.84,0.151,1,1
2,3,170,2,163.95,1.008,0.994,29,0
1,9,195,6,175.42,1.682,0.334,50,1
1,7,199,1,92.07,2.895,0.16,37,1
2,6,162,4,175.86,3.408,0.008,1,1
0,2,74,7,194.5,1.664,0.286,108,1
3,6,62,2,485.94,0.0,0.889,69,1
1,6,69,1,350.87,3.414,0.534,117,1
0,9,25,0,241.7,3.617,0.632,48,1
5,2,180,4,494.62,1.935,0.922,55,0
1,1,81,4,118.95,0.594,0.513,114,0
1,8,74,2,264.22,2.932,0.838,66,1
0,0,186,2,341.18,0.0,0.324,111,0
1,6,159,3,0.0,0.563,0.977,63,0
2,3,135,6,372.65,2.583,0.079,22,1
0,1,50,0,94.94,2.559,0.725,94,1
1,1,93,0,0.0,0.0,0.661,11,0
4,7,53,5,121.86,3.124,0.192,29,1
1,6,188,1,468.0,1.999,0.389,106,0
2,6,29,7,357.46,2.869,0.313,3,1
4,4,71,1,0.0,2.31,0.094,45,0
1,9,0,3,299.97,1.37,0.585,77,0
1,7,22,5,181.76,2.623,0.994,3,1
2,1,180,0,329.4,3.079,0.56,74,0
0,1,154,6,234.57,3.909,0.545,68,1
1,4,23,6,0.0,1.83,0.04,14,1
2,0,186,7,360.32,0.726,0.139,87,0
0,5,67,6,0.0,3.958,0.513,81,1
2,3,93,6,135.8,2.683,0.985,65,1
0,5,98,1,417.96,3.813,0.877,57,0
1,6,163,0,347.05,0.863,0.34,15,0
2,2,185,0,333.95,1.697,0.543,60,0
0,7,23,0,238.19,0.969,0.553,54,1
3,6,23,5,228.33,3.424,0.685,117,1
1,0,139,1,360.62,3.581,0.688,2,0
2,5,138,2,383.0,2.255,0.79,82,0
0,6,174,2,279.6,1.153,0.025,64,0
0,3,36,5,486.17,0.945,0.944,103,1
1,1,115,1,480.06,0.0,0.07,86,0
0,9,89,7,235.59,2.272,0.476,28,1
2,8,116,0,419.28,0.0,0.92,94,1
1,6,0,4,294.47,1.568,0.488,77,1
3,0,133,5,280.29,1.908,0.064,67,0
4,7,24,0,74.73,0.575,0.229,3,1
1,2,66,5,308.29,2.636,0.579,109,1
1,3,59,4,455.26,1.981,0.088,53,1
3,4,141,7,401.06,3.719,0.424,26,1
1,0,154,5,403.84,2.746,0.329,4,1
1,5,159,1,121.97,1.895,0.815,16,0
0,9,0,0,211.3,1.423,0.11,92,0
1,5,172,4,154.94,3.668,0.683,72,1
2,1,47,6,192.16,0.557,0.407,54,1
1,9,190,2,310.79,1.644,0.588,104,0
2,5,96,3,214.15,3.802,0.206,16,0
3,7,194,5,302.31,2.789,0.61,31,1
2,5,68,0,247.33,0.0,0.674,87,1
1,3,105,4,178.98,1.212,0.07,2,0
2,3,0,3,92.93,3.417,0.824,73,1
5,0,37,5,0.0,1.215,0.861,91,1
1,5,46,7,55.12,1.369,0.064,45,1
1,7,91,2,50.74,0.0,0.603,54,0
2,7,153,4,422.06,1.054,0.594,59,1
2,6,141,1,498.56,3.837,0.012,59,1
2,0,124,0,377.2,2.607,0.342,22,0
1,9,88,2,56.87,2.732,0.969,108,1
2,0,90,3,152.01,3.84,0.555,34,0
4,4,169,3,0.0,1.307,0.933,73,0
4,9,194,2,0.0,0.521,0.676,97,0
0,9,136,6,305.06,2.596,0.028,102,1
4,1,51,1,156.59,0.0,0.078,56,0
2,9,128,0,56.47,2.172,0.722,34,1
2,1,116,1,59.39,0.717,0.555,99,0
3,6,0,5,325.39,2.091,0.127,111,1
0,2,193,5,59.82,1.506,0.614,26,0
1,7,188,3,497.13,1.461,0.81,71,0
2,8,127,5,132.52,1.278,0.753,45,1
1,0,133,2,369.82,1.664,0.246,112,0
3,5,60,6,119.78,1.736,0.258,109,1
0,4,27,5,293.04,1.581,0.968,91,1
3,2,0,2,86.28,3.926,0.887,76,0
5,2,49,0,395.05,3.765,0.318,81,1
0,6,65,3,313.21,2.511,0.824,21,1
1,4,124,7,88.78,3.934,0.162,43,1
1,5,199,1,431.86,3.969,0.197,86,0
0,5,115,4,296.16,1.746,0.181,90,0
1,8,80,0,464.72,2.058,0.088,39,0
2,0,160,1,462.48,3.857,0.855,13,0
2,7,108,6,464.23,2.63,0.579,106,1
0,9,187,7,85.0,1.245,0.259,42,1
3,4,145,4,104.43,2.913,0.849,45,1
0,5,80,6,494.47,1.22,0.803,87,0
1,0,139,7,269.42,1.688,0.101,51,0
1,0,191,3,157.2,0.0,0.644,94,0
4,2,140,5,396.35,1.357,0.722,119,0
1,5,191,0,168.93,0.516,0.716,17,0
3,8,67,1,377.25,3.582,0.723,91,1
1,5,78,6,426.78,1.536,0.169,84,1
2,5,30,5,402.92,0.802,0.315,63,1
2,0,44,1,173.32,0.804,0.844,7,0
1,8,65,3,230.73,2.446,0.898,55,1
4,3,73,3,235.96,3.975,0.279,4,1
0,1,53,2,271.07,1.008,0.023,113,0
1,0,103,3,125.32,0.849,0.86,31,0
1,2,154,0,253.61,2.034,0.377,94,0
0,2,81,3,279.85,2.472,0.329,95,0
1,4,76,1,289.27,1.53,0.347,56,0
2,0,112,0,418.96,1.559,0.416,4,0
1,6,135,6,282.8,1.986,0.378,82,1
1,0,95,1,153.85,0.0,0.566,84,0
0,0,152,6,348.41,3.704,0.079,40,1
1,5,95,5,408.79,0.647,0.972,104,0
1,0,182,6,193.72,1.321,0.936,117,0
1,6,56,3,340.39,3.33,0.934,112,1
1,9,163,2,116.12,3.419,0.879,47,1
2,6,49,0,203.87,0.89,0.66,50,1
3,2,61,2,459.15,3.908,0.221,23,1
1,3,80,4,460.09,2.927,0.049,51,1
2,5,67,2,308.9,1.454,0.099,38,0
2,6,103,7,366.06,2.096,0.324,9,1
0,3,112,2,434.31,1.54,0.504,61,0
6,9,87,5,481.35,1.025,0.993,80,1
0,8,65,3,270.45,1.519,0.435,21,1
2,0,132,7,302.71,2.53,0.525,9,1
2,8,47,5,0.0,3.391,0.695,116,1
1,9,96,3,82.39,1.772,0.181,25,0
0,5,0,7,240.26,0.0,0.933,113,0
1,1,22,5,405.78,2.138,0.529,36,1
0,1,56,3,412.2,2.756,0.276,111,1
4,3,195,7,451.57,3.131,0.935,43,1
3,8,166,0,73.16,1.644,0.625,78,1
2,2,111,7,287.22,2.552,0.484,81,1
0,5,102,6,98.34,1.863,0.58,28,0
2,1,36,3,140.33,0.0,0.748,64,1
2,0,140,7,455.1,1.076,0.155,45,0
0,4,106,0,273.56,1.399,0.865,105,0
2,7,59,2,391.35,1.991,0.96,56,1
0,9,197,4,78.97,3.613,0.567,48,1
0,9,92,3,237.57,2.507,0.682,8,1
1,1,48,4,353.41,3.879,0.86,14,1
1,9,198,4,110.03,0.861,0.375,15,1
1,8,61,1,196.62,2.111,0.993,39,1
0,7,48,1,79.05,1.967,0.681,25,1
0,2,85,0,343.1,2.601,0.424,63,0
1,0,143,6,486.9,3.342,0.677,59,1
1,3,164,7,422.17,3.445,0.522,75,1
1,7,139,7,0.0,2.846,0.112,29,1
3,2,128,7,430.52,2.745,0.796,3,1
2,9,178,5,434.84,3.822,0.564,39,1
2,0,111,1,309.73,1.843,0.796,22,0
0,6,131,3,283.21,3.415,0.155,101,1
2,3,71,4,232.81,3.725,0.538,41,1
1,5,186,5,418.14,2.22,0.767,20,0
2,4,79,7,131.93,3.052,0.988,19,1
1,1,113,0,75.3,1.82,0.884,13,0
0,9,198,7,476.55,1.056,0.864,91,1
1,1,163,1,51.7,2.553,0.247,19,0
2,8,117,0,489.57,1.188,0.838,80,0
4,9,33,6,377.98,2.102,0.169,66,1
1,1,189,5,197.82,3.555,0.198,65,1
1,7,70,0,364.02,0.801,0.11,3,1
2,7,43,3,0.0,0.606,0.858,24,1
0,0,126,5,160.41,2.623,0.108,108,1
6,0,190,4,396.9,1.659,0.138,38,0
1,3,92,3,411.97,1.963,0.246,2,0
0,1,166,3,162.21,1.92,0.573,56,0
0,0,103,5,68.87,0.803,0.88,80,0
3,8,80,7,141.86,0.512,0.418,93,1
2,2,125,2,0.0,3.644,0.546,37,0
1,0,113,2,79.36,1.262,0.166,108,0
2,1,82,7,376.7,1.991,0.266,4,0
3,7,173,5,220.99,3.902,0.134,78,1
0,4,114,7,447.97,3.394,0.41,81,1
0,6,54,5,163.48,0.878,0.59,44,1
2,5,86,5,253.95,2.28,0.284,45,0
2,0,75,6,337.56,3.055,0.846,81,1
2,5,59,6,444.86,2.944,0.981,84,1
1,6,176,4,286.08,3.163,0.12,47,1
2,3,153,1,218.09,2.101,0.018,93,0
0,7,199,3,440.16,1.116,0.79,105,0
0,7,148,5,189.61,2.127,0.191,26,1
1,0,199,6,85.74,2.768,0.353,106,1
0,1,43,1,250.27,2.63,0.394,102,1
4,5,121,4,403.29,0.747,0.917,81,0
1,5,181,3,63.85,0.727,0.659,76,0
5,6,134,1,313.65,3.878,0.041,92,1
2,5,0,3,317.51,1.031,0.015,9,0
2,1,94,7,0.0,1.531,0.2,96,0
7,7,30,2,178.91,3.187,0.318,98,1
2,3,55,5,175.48,1.934,0.485,80,1
2,8,0,7,248.22,1.135,0.838,48,1
2,7,82,2,210.61,2.135,0.315,118,0
0,2,99,0,381.36,2.491,0.377,31,0
0,2,107,4,338.79,2.085,0.329,55,0
2,7,49,5,391.51,3.716,0.009,91,1
1,1,177,7,419.02,1.496,0.955,93,0
2,8,122,1,465.34,2.815,0.139,1,1
0,3,131,3,243.92,0.893,0.288,91,0
1,5,103,6,493.11,0.0,0.129,117,0
2,2,169,0,147.05,0.0,0.491,96,0
1,2,124,4,371.46,1.287,0.932,59,0
2,2,40,4,290.3,2.564,0.101,11,1
2,9,56,4,417.61,1.037,0.441,117,1
4,1,46,1,264.55,0.859,0.022,99,0
1,7,121,7,402.77,2.331,0.771,2,1
1,8,0,5,468.58,2.863,0.641,46,1
1,7,57,2,379.53,0.897,0.7,1,1
0,9,79,0,399.24,3.712,0.472,70,1
1,2,89,7,80.23,1.29,0.908,71,0
1,6,51,1,142.23,0.92,0.41,66,1
0,9,99,3,488.44,1.209,0.514,2,0
0,1,174,1,361.93,1.094,0.695,111,0
0,3,150,3,302.65,0.817,0.521,117,0
3,5,196,3,215.14,3.292,0.189,69,0
2,4,0,4,69.98,2.234,0.317,13,0
1,8,121,1,216.11,1.86,0.092,19,0
4,9,49,0,274.51,3.827,0.433,83,1
2,3,0,3,145.16,1.799,0.609,47,0
0,4,38,6,127.91,1.084,0.119,1,1
1,3,0,4,278.79,1.459,0.631,99,1
2,7,39,2,313.66,1.336,0.893,18,1
0,7,166,7,0.0,2.246,0.338,113,1
0,2,149,7,314.33,0.0,0.222,32,0
2,0,59,7,455.15,2.306,0.893,96,1
3,5,186,1,262.93,2.843,0.692,117,0
2,1,110,2,435.83,3.221,0.105,72,0
